#name	beta1	beta2	Ra_ur	Ra_ui	Ra_vr	Ra_vi	Ra_wr	Ra_wi	Ra_cr	Ra_ci	alpha1	alpha2	alpha3	alpha4
exp076	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	1.0	0.0
exp077	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	10.0	0.0
exp078	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	100.0	0.0
exp079	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	1.0	0.0
exp080	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	10.0	0.0
exp081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	100.0	0.0
exp082	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
exp083	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0
exp084	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	0.0
exp085	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	0.0
exp086	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	0.0
exp087	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	0.0
exp088	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	0.0
exp089	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	0.0
exp090	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	0.0
exp091	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	0.0
exp092	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	10.0	0.0
exp093	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	100.0	0.0
exp094	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	1.0	0.0
exp095	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	0.0
exp096	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	100.0	0.0
exp097	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	1.0	0.0
exp098	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	10.0	0.0
exp099	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	100.0	0.0
exp100	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	1.0	0.0
exp101	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	10.0	0.0
exp102	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	100.0	0.0
exp103	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	1.0	0.0
exp104	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	10.0	0.0
exp105	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	100.0	0.0
exp106	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	1.0	0.0
exp107	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	10.0	0.0
exp108	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	100.0	0.0
